2,90,170,2,4,4,0,0.98837,0.33333,0.4,0.4,0,170,2,4,4,0,0,0,0,0,0,0.96045,0.5,0.4,0.44444,NaN
3,90,169,2,4,5,0,0.98256,0.33333,0.4,0.5,0,169,2,4,5,0,0,0,0,0,0,0.94944,0.4,0.44444,0.625,NaN
4,92.5,171,6,4,4,0,0.99419,1,0.4,0.4,0,171,6,4,4,0,0,0,0,0,0,0.96067,0.66667,0.5,0.8,NaN
5,94,171,4,6,7,0,0.99419,0.66667,0.6,0.7,0,171,4,6,7,0,0,0,0,0,0,0.9661,1,0.66667,0.7,NaN
6,93.5,171,3,7,6,0,0.99419,0.5,0.7,0.6,0,171,3,7,6,0,0,0,0,0,0,0.95531,1,0.63636,0.85714,NaN
7,94,170,5,6,7,0,0.98837,0.83333,0.6,0.7,0,170,5,6,7,0,0,0,0,0,0,0.96591,1,0.75,0.63636,NaN
8,93.5,170,6,5,6,0,0.98837,1,0.5,0.6,0,170,6,5,6,0,0,0,0,0,0,0.96045,0.75,0.83333,0.66667,NaN
9,92.5,170,4,6,5,0,0.98837,0.66667,0.6,0.5,0,170,4,6,5,0,0,0,0,0,0,0.95506,1,0.6,0.625,NaN
10,92,170,4,5,5,0,0.98837,0.66667,0.5,0.5,0,170,4,5,5,0,0,0,0,0,0,0.95506,0.66667,0.55556,0.71429,NaN
11,93,171,5,4,6,0,0.99419,0.83333,0.4,0.6,0,171,5,4,6,0,0,0,0,0,0,0.96067,0.83333,0.66667,0.6,NaN
12,92,170,5,3,6,0,0.98837,0.83333,0.3,0.6,0,170,5,3,6,0,0,0,0,0,0,0.96591,0.55556,0.5,0.66667,NaN
13,92.5,170,4,6,5,0,0.98837,0.66667,0.6,0.5,0,170,4,6,5,0,0,0,0,0,0,0.94972,1,0.66667,0.625,NaN
14,93.5,171,6,7,3,0,0.99419,1,0.7,0.3,0,171,6,7,3,0,0,0,0,0,0,0.96067,0.75,0.7,0.75,NaN
15,92.5,169,5,6,5,0,0.98256,0.83333,0.6,0.5,0,169,5,6,5,1,0,0,0,0,0,0.96023,0.83333,0.66667,0.625,0
16,92.5,170,4,6,5,0,0.98837,0.66667,0.6,0.5,0,170,4,6,5,0,0,0,0,0,0,0.95506,0.8,0.75,0.55556,NaN
17,93,170,4,6,6,0,0.98837,0.66667,0.6,0.6,0,170,4,6,6,0,0,0,0,0,0,0.94972,1,0.66667,0.75,NaN
18,93,170,4,6,6,0,0.98837,0.66667,0.6,0.6,0,170,4,6,6,0,0,0,0,0,0,0.96591,0.66667,0.66667,0.66667,NaN
19,92.5,169,6,5,5,0,0.98256,1,0.5,0.5,0,169,6,5,5,0,0,0,0,0,0,0.9548,0.75,0.71429,0.625,NaN
20,93,170,3,7,6,0,0.98837,0.5,0.7,0.6,0,170,3,7,6,1,0,0,0,0,0,0.96045,1,0.63636,0.75,0
21,92.5,170,5,4,6,0,0.98837,0.83333,0.4,0.6,0,170,5,4,6,0,0,0,0,0,0,0.95506,0.625,0.66667,0.75,NaN
22,92.5,170,5,2,8,0,0.98837,0.83333,0.2,0.8,0,170,5,2,8,1,0,0,0,0,0,0.96591,0.625,0.5,0.72727,0
23,94.5,171,5,6,7,0,0.99419,0.83333,0.6,0.7,0,171,5,6,7,0,0,0,0,0,0,0.9661,1,0.66667,0.77778,NaN
24,93,170,5,6,5,0,0.98837,0.83333,0.6,0.5,0,170,5,6,5,0,0,0,0,0,0,0.96045,0.83333,0.66667,0.625,NaN
25,94,170,5,7,6,0,0.98837,0.83333,0.7,0.6,0,170,5,7,6,0,0,0,0,0,0,0.95506,1,0.77778,0.75,NaN
26,94,170,5,6,7,0,0.98837,0.83333,0.6,0.7,0,170,5,6,7,0,0,0,0,0,0,0.96045,0.83333,0.66667,0.875,NaN
27,93,170,6,6,4,0,0.98837,1,0.6,0.4,0,170,6,6,4,0,0,0,0,0,0,0.96045,0.85714,0.66667,0.57143,NaN
28,92,170,5,4,5,0,0.98837,0.83333,0.4,0.5,0,170,5,4,5,0,0,0,0,0,0,0.96591,0.71429,0.44444,0.625,NaN
