2,88.5,171,2,2,2,0,0.99419,0.33333,0.2,0.22222,0,171,2,2,2,0,0,0,0,0,0,0.95,0.33333,0.22222,0.4,NaN
3,90,170,4,4,2,0,0.98837,0.66667,0.4,0.22222,0,170,4,4,2,1,0,0,0,0,0,0.93923,1,0.4,0.5,0
4,92,170,4,6,4,0,0.98837,0.66667,0.6,0.44444,0,170,4,6,4,0,0,0,0,0,0,0.94972,0.8,0.6,0.66667,NaN
5,90,172,4,2,2,0,1,0.66667,0.2,0.22222,0,172,4,2,2,0,0,0,0,0,0,0.92973,0.57143,0.4,0.66667,NaN
6,94,172,4,6,6,0,1,0.66667,0.6,0.66667,0,172,4,6,6,0,0,0,0,0,0,0.94505,1,0.85714,0.85714,NaN
7,90,170,3,4,3,0,0.98837,0.5,0.4,0.33333,0,170,3,4,3,2,0,0,0,0,0,0.96045,0.6,0.4,0.5,0
8,91.5,172,2,3,6,0,1,0.33333,0.3,0.66667,0,172,2,3,6,0,0,0,0,0,0,0.96089,0.66667,0.33333,0.66667,NaN
9,92.5,171,4,4,6,0,0.99419,0.66667,0.4,0.66667,0,171,4,4,6,1,0,0,0,0,0,0.96067,0.66667,0.57143,0.75,0
10,92,171,3,4,6,0,0.99419,0.5,0.4,0.66667,0,171,3,4,6,0,0,0,0,0,0,0.9661,0.6,0.5,0.6,NaN
11,93,171,4,5,6,0,0.99419,0.66667,0.5,0.66667,0,171,4,5,6,0,0,0,0,0,0,0.96067,0.8,0.625,0.66667,NaN
12,91.5,171,4,6,2,0,0.99419,0.66667,0.6,0.22222,0,171,4,6,2,0,0,0,0,0,0,0.94475,0.8,0.54545,0.66667,NaN
13,92,171,4,5,4,0,0.99419,0.66667,0.5,0.44444,0,171,4,5,4,0,0,0,0,0,0,0.95,0.8,0.55556,0.66667,NaN
14,94.5,172,6,5,6,0,1,1,0.5,0.66667,0,172,6,5,6,2,0,0,0,0,0,0.96089,0.85714,0.83333,1,0
