2,90,169,3,4,4,0,0,1,0.42857,0.5,0.44444,0,0,169,3,4,4,0,0,0,0,0,0,0,0,0.92857,0.6,0.5,0.8,NaN,NaN
3,88.5,167,3,1,6,0,0,0.98817,0.42857,0.125,0.66667,0,0,167,3,1,6,0,0,0,0,0,0,0,0,0.9382,0.33333,0.2,0.75,NaN,NaN
4,89.5,167,4,3,5,0,0,0.98817,0.57143,0.375,0.55556,0,0,167,4,3,5,0,1,0,0,0,0,0,0,0.9435,0.57143,0.42857,0.71429,0,0
5,91.5,168,3,5,7,0,0,0.99408,0.42857,0.625,0.77778,0,0,168,3,5,7,0,0,0,0,0,0,0,0,0.94382,0.75,0.5,0.875,NaN,NaN
6,90,168,5,3,4,0,0,0.99408,0.71429,0.375,0.44444,0,0,168,5,3,4,0,2,0,0,0,0,0,0,0.93333,0.71429,0.6,0.66667,NaN,0
7,91,166,6,5,5,0,0,0.98225,0.85714,0.625,0.55556,0,0,166,6,5,5,0,0,0,0,0,0,0,0,0.94318,1,0.625,0.5,NaN,NaN
8,87.5,164,4,2,5,0,0,0.97041,0.57143,0.25,0.55556,0,0,164,4,2,5,0,0,0,0,0,0,0,0,0.92655,0.57143,0.33333,0.5,NaN,NaN
9,91.5,168,5,4,6,0,0,0.99408,0.71429,0.5,0.66667,0,0,168,5,4,6,0,1,0,0,0,0,0,0,0.94382,0.83333,0.57143,0.75,NaN,0
10,89,166,6,2,4,0,0,0.98225,0.85714,0.25,0.44444,0,0,166,6,2,4,0,2,0,0,0,0,0,0,0.94318,0.66667,0.33333,0.57143,NaN,0
11,90,168,3,3,6,0,0,0.99408,0.42857,0.375,0.66667,0,0,168,3,3,6,0,0,0,0,0,0,0,0,0.93333,0.6,0.42857,0.75,NaN,NaN
12,90.5,167,5,4,5,0,0,0.98817,0.71429,0.5,0.55556,0,0,167,5,4,5,0,0,0,0,0,0,0,0,0.91758,0.83333,0.8,0.71429,NaN,NaN
13,92.5,168,7,6,4,0,0,0.99408,1,0.75,0.44444,0,0,168,7,6,4,0,1,0,0,0,0,0,0,0.94382,1,0.75,0.66667,NaN,0
14,90.5,168,6,3,4,0,0,0.99408,0.85714,0.375,0.44444,0,0,168,6,3,4,0,0,0,0,0,0,0,0,0.92818,0.66667,0.75,0.66667,NaN,NaN
15,89.5,166,5,3,5,0,0,0.98225,0.71429,0.375,0.55556,0,0,166,5,3,5,0,1,0,0,0,0,0,0,0.94318,0.625,0.6,0.5,NaN,0
16,90,168,6,4,2,0,0,0.99408,0.85714,0.5,0.22222,0,0,168,6,4,2,0,0,0,0,0,0,0,0,0.92818,0.85714,0.57143,0.5,0,NaN
17,89,167,3,3,5,0,0,0.98817,0.42857,0.375,0.55556,0,0,167,3,3,5,0,0,0,0,0,0,0,0,0.92265,0.5,0.6,0.625,NaN,NaN
18,92.5,167,7,5,6,0,0,0.98817,1,0.625,0.66667,0,0,167,7,5,6,0,0,0,0,0,0,0,0,0.9435,0.875,0.83333,0.66667,NaN,NaN
19,92,167,6,5,6,0,0,0.98817,0.85714,0.625,0.66667,0,0,167,6,5,6,0,1,0,0,0,0,0,0,0.9382,1,0.83333,0.75,0,0
20,91,167,6,5,4,0,0,0.98817,0.85714,0.625,0.44444,0,0,167,6,5,4,0,1,0,0,0,0,0,0,0.9435,0.85714,0.71429,0.57143,0,0
21,91.5,167,5,4,7,0,0,0.98817,0.71429,0.5,0.77778,0,0,167,5,4,7,0,1,0,0,0,0,0,0,0.9435,0.71429,0.66667,0.875,0,0
22,91.5,168,5,5,5,0,0,0.99408,0.71429,0.625,0.55556,0,0,168,5,5,5,0,1,0,0,0,0,0,0,0.93855,1,0.71429,0.71429,0,0
23,89.5,167,5,2,5,0,0,0.98817,0.71429,0.25,0.55556,0,0,167,5,2,5,0,1,0,0,0,0,0,0,0.9435,0.625,0.4,0.625,0,0
24,92.5,167,6,6,6,0,0,0.98817,0.85714,0.75,0.66667,0,0,167,6,6,6,0,1,0,0,0,0,0,0,0.9435,1,0.75,0.75,NaN,0
25,90,168,4,3,5,0,0,0.99408,0.57143,0.375,0.55556,0,0,168,4,3,5,0,0,0,0,0,0,0,0,0.94382,0.5,0.6,0.71429,0,NaN
26,90,168,4,3,5,0,0,0.99408,0.57143,0.375,0.55556,0,0,168,4,3,5,0,2,0,0,0,0,0,0,0.93855,0.8,0.5,0.625,NaN,0
27,90.5,167,6,3,5,0,0,0.98817,0.85714,0.375,0.55556,0,0,167,6,3,5,0,2,0,0,0,0,0,0,0.9382,0.85714,0.75,0.55556,NaN,0
28,92,167,6,5,6,0,0,0.98817,0.85714,0.625,0.66667,0,0,167,6,5,6,0,1,0,0,0,0,0,0,0.95429,0.85714,0.83333,0.6,0,0
29,89,166,4,5,3,0,0,0.98225,0.57143,0.625,0.33333,0,0,166,4,5,3,0,2,0,0,0,0,0,0,0.92737,1,0.71429,0.375,NaN,0
30,93.5,168,7,6,6,0,0,0.99408,1,0.75,0.66667,0,0,168,7,6,6,0,1,0,0,0,0,0,0,0.94382,1,0.85714,0.85714,NaN,0
31,91,166,6,4,6,0,0,0.98225,0.85714,0.5,0.66667,0,0,166,6,4,6,0,2,0,0,0,0,0,0,0.94318,0.75,1,0.66667,0,0
32,90,166,6,4,4,0,0,0.98225,0.85714,0.5,0.44444,0,0,166,6,4,4,0,3,0,0,0,0,0,0,0.93785,0.75,0.57143,0.8,NaN,0
33,92,166,7,6,5,0,0,0.98225,1,0.75,0.55556,0,0,166,7,6,5,0,2,0,0,0,0,0,0,0.94318,1,0.85714,0.625,NaN,0
34,91,166,7,5,4,0,0,0.98225,1,0.625,0.44444,0,0,166,7,5,4,0,2,0,0,0,0,0,0,0.93785,1,0.71429,0.57143,NaN,0
35,91.5,168,5,4,6,0,0,0.99408,0.71429,0.5,0.66667,0,0,168,5,4,6,0,1,0,0,0,0,0,0,0.93855,0.83333,0.66667,0.75,NaN,0
36,90,167,5,4,4,0,0,0.98817,0.71429,0.5,0.44444,0,0,167,5,4,4,0,0,0,0,0,0,0,0,0.93296,0.71429,0.66667,0.57143,0,NaN
37,92,168,3,6,7,0,0,0.99408,0.42857,0.75,0.77778,0,0,168,3,6,7,0,0,0,0,0,0,0,0,0.94382,1,0.66667,0.7,NaN,NaN
38,91,167,7,4,4,0,0,0.98817,1,0.5,0.44444,0,0,167,7,4,4,0,1,0,0,0,0,0,0,0.9435,0.77778,0.66667,0.66667,0,0
39,88,165,4,4,3,0,0,0.97633,0.57143,0.5,0.33333,0,0,165,4,4,3,0,1,0,0,0,0,0,0,0.92697,0.66667,0.5,0.42857,NaN,0
40,91,167,5,6,4,0,0,0.98817,0.71429,0.75,0.44444,0,0,167,5,6,4,0,1,0,0,0,0,0,0,0.94886,1,0.66667,0.8,0,0
41,90,166,6,5,3,0,0,0.98225,0.85714,0.625,0.33333,0,0,166,6,5,3,0,2,0,0,0,0,0,0,0.94857,0.85714,0.71429,0.6,0,0
42,91,167,6,3,6,0,0,0.98817,0.85714,0.375,0.66667,0,0,167,6,3,6,0,0,0,0,0,0,0,0,0.95429,0.66667,0.6,0.6,0,NaN
43,91,168,5,4,5,0,0,0.99408,0.71429,0.5,0.55556,0,0,168,5,4,5,0,0,0,0,0,0,0,0,0.93855,0.71429,0.57143,0.71429,NaN,NaN
44,89,166,5,3,4,0,0,0.98225,0.71429,0.375,0.44444,0,0,166,5,3,4,0,0,0,0,0,0,0,0,0.93258,0.71429,0.5,0.57143,0,NaN
45,89.5,168,5,4,2,0,0,0.99408,0.71429,0.5,0.22222,0,0,168,5,4,2,0,1,0,0,0,0,0,0,0.92818,0.71429,0.57143,0.66667,0,0
46,90,168,5,4,3,0,0,0.99408,0.71429,0.5,0.33333,0,0,168,5,4,3,0,2,0,0,0,0,0,0,0.93333,0.71429,0.66667,0.6,NaN,0
47,89.5,168,6,3,2,0,0,0.99408,0.85714,0.375,0.22222,0,0,168,6,3,2,0,0,0,0,0,0,0,0,0.92308,0.75,0.5,0.5,NaN,NaN
48,91,168,6,5,3,0,0,0.99408,0.85714,0.625,0.33333,0,0,168,6,5,3,0,1,0,0,0,0,0,0,0.93855,0.85714,0.55556,1,0,0
49,90,167,5,4,4,0,0,0.98817,0.71429,0.5,0.44444,0,0,167,5,4,4,0,2,0,0,0,0,0,0,0.9382,0.71429,0.66667,0.66667,0,0
50,90,168,5,2,5,0,0,0.99408,0.71429,0.25,0.55556,0,0,168,5,2,5,0,4,0,0,0,0,0,0,0.94915,0.625,0.66667,0.625,NaN,0
