2,90,167,0,6,7,0,0,0.98817,0,0.6,0.7,0,0,167,0,6,7,0,0,0,0,0,0,0,0,0.92778,NaN,0.75,0.58333,NaN,NaN
3,90,167,1,4,8,0,0,0.98817,0.2,0.4,0.8,0,0,167,1,4,8,0,0,0,0,0,0,0,0,0.93296,0.33333,0.8,0.61538,NaN,NaN
4,87,166,1,2,5,0,0,0.98225,0.2,0.2,0.5,0,0,166,1,2,5,0,0,0,0,0,0,0,0,0.93785,0.25,0.25,0.45455,NaN,NaN
5,90,168,2,6,4,0,0,0.99408,0.4,0.6,0.4,0,0,168,2,6,4,0,1,0,0,0,0,0,0,0.94915,0.5,0.5,0.66667,NaN,0
6,88.5,168,2,5,2,0,0,0.99408,0.4,0.5,0.2,0,0,168,2,5,2,0,0,0,0,0,0,0,0,0.90811,0.66667,0.55556,0.66667,NaN,NaN
7,89,167,1,6,4,0,0,0.98817,0.2,0.6,0.4,0,0,167,1,6,4,0,0,0,0,0,0,0,0,0.9382,1,0.42857,0.57143,NaN,NaN
8,89,166,0,7,5,0,0,0.98225,0,0.7,0.5,0,0,166,0,7,5,0,2,0,0,0,0,0,0,0.93258,NaN,0.5,0.83333,NaN,0
9,91,167,2,6,7,0,0,0.98817,0.4,0.6,0.7,0,0,167,2,6,7,0,1,0,0,0,0,0,0,0.9435,1,0.54545,0.77778,NaN,0
10,88,167,1,4,4,0,0,0.98817,0.2,0.4,0.4,0,0,167,1,4,4,0,1,0,0,0,0,0,0,0.9382,0.33333,0.44444,0.5,0,0
11,89.5,167,3,6,3,0,0,0.98817,0.6,0.6,0.3,0,0,167,3,6,3,0,0,0,0,0,0,0,0,0.92778,1,0.5,0.6,NaN,NaN
12,91,168,1,6,7,0,0,0.99408,0.2,0.6,0.7,0,0,168,1,6,7,0,0,0,0,0,0,0,0,0.94382,0.5,0.54545,0.77778,NaN,NaN
13,89,168,1,3,6,0,0,0.99408,0.2,0.3,0.6,0,0,168,1,3,6,0,0,0,0,0,0,0,0,0.93855,0.25,0.375,0.66667,NaN,NaN
14,90.5,167,3,5,6,0,0,0.98817,0.6,0.5,0.6,0,0,167,3,5,6,0,1,0,0,0,0,0,0,0.9435,0.75,0.625,0.6,NaN,0
15,87.5,167,1,2,5,0,0,0.98817,0.2,0.2,0.5,0,0,167,1,2,5,0,1,0,0,0,0,0,0,0.9382,0.2,0.25,0.625,NaN,0
16,90.5,168,3,3,7,0,0,0.99408,0.6,0.3,0.7,0,0,168,3,3,7,0,0,0,0,0,0,0,0,0.94382,0.75,0.5,0.63636,0,NaN
17,90,166,2,7,5,0,0,0.98225,0.4,0.7,0.5,0,0,166,2,7,5,0,1,0,0,0,0,0,0,0.93785,0.66667,0.63636,0.625,NaN,0
18,91,167,2,6,6,1,0,0.98817,0.4,0.6,0.6,1,0,167,2,6,6,1,1,0,0,0,0,0,0,0.9382,1,0.66667,0.66667,1,0
19,90.5,167,3,5,6,0,0,0.98817,0.6,0.5,0.6,0,0,167,3,5,6,0,1,0,0,0,0,0,0,0.9382,1,0.55556,0.66667,NaN,0
20,88.5,168,0,3,6,0,0,0.99408,0,0.3,0.6,0,0,168,0,3,6,0,0,0,0,0,0,0,0,0.92308,0,0.42857,0.66667,0,NaN
21,91,168,4,5,5,0,0,0.99408,0.8,0.5,0.5,0,0,168,4,5,5,0,1,0,0,0,0,0,0,0.93333,0.8,0.71429,0.71429,NaN,0
22,88.5,167,2,3,5,0,0,0.98817,0.4,0.3,0.5,0,0,167,2,3,5,0,2,0,0,0,0,0,0,0.9435,0.33333,0.375,0.71429,NaN,0
23,89,166,2,3,7,0,0,0.98225,0.4,0.3,0.7,0,0,166,2,3,7,0,1,0,0,0,0,0,0,0.92222,0.5,0.5,0.77778,NaN,0
24,90,166,3,5,6,0,0,0.98225,0.6,0.5,0.6,0,0,166,3,5,6,0,1,0,0,0,0,0,0,0.94318,0.6,0.625,0.6,NaN,0
25,90.5,167,3,5,6,0,0,0.98817,0.6,0.5,0.6,0,0,167,3,5,6,0,1,0,0,0,0,0,0,0.9382,0.6,0.625,0.75,NaN,0
26,88.5,167,0,5,5,0,0,0.98817,0,0.5,0.5,0,0,167,0,5,5,0,1,0,0,0,0,0,0,0.93296,0,0.5,0.55556,NaN,0
27,90,168,2,4,6,0,0,0.99408,0.4,0.4,0.6,0,0,168,2,4,6,0,0,0,0,0,0,0,0,0.93855,0.66667,0.5,0.6,NaN,NaN
28,89,167,1,4,6,0,0,0.98817,0.2,0.4,0.6,0,0,167,1,4,6,0,0,0,0,0,0,0,0,0.92265,0.33333,0.57143,0.66667,NaN,NaN
29,91.5,169,3,6,5,0,0,1,0.6,0.6,0.5,0,0,169,3,6,5,0,1,0,0,0,0,0,0,0.94413,0.6,0.66667,0.83333,NaN,0
30,91,168,4,4,6,0,0,0.99408,0.8,0.4,0.6,0,0,168,4,4,6,0,1,0,0,0,0,0,0,0.94382,0.66667,0.57143,0.75,NaN,0
31,91,168,4,6,4,0,0,0.99408,0.8,0.6,0.4,0,0,168,4,6,4,0,3,0,0,0,0,0,0,0.94915,1,0.6,0.66667,NaN,0
32,89,168,3,3,4,0,0,0.99408,0.6,0.3,0.4,0,0,168,3,3,4,0,0,0,0,0,0,0,0,0.91803,0.75,0.5,0.57143,NaN,NaN
33,90.5,168,3,4,6,0,0,0.99408,0.6,0.4,0.6,0,0,168,3,4,6,0,1,0,0,0,0,0,0,0.93855,0.6,0.57143,0.75,NaN,0
34,88,167,0,5,4,0,0,0.98817,0,0.5,0.4,0,0,167,0,5,4,0,0,0,0,0,0,0,0,0.92265,0,0.41667,0.8,NaN,NaN
35,87,167,1,1,5,0,0,0.98817,0.2,0.1,0.5,0,0,167,1,1,5,0,2,0,0,0,0,0,0,0.9435,0.2,0.16667,0.55556,0,0
36,92,168,4,7,5,0,0,0.99408,0.8,0.7,0.5,0,0,168,4,7,5,0,2,0,0,0,0,0,0,0.94915,1,0.77778,0.625,NaN,0
37,90.5,167,1,6,7,0,0,0.98817,0.2,0.6,0.7,0,0,167,1,6,7,0,0,0,0,0,0,0,0,0.9435,0.5,0.5,0.77778,NaN,NaN
38,91,168,3,6,5,0,0,0.99408,0.6,0.6,0.5,0,0,168,3,6,5,0,1,0,0,0,0,0,0,0.94382,0.75,0.6,0.71429,NaN,0
39,90.5,168,3,3,6,1,0,0.99408,0.6,0.3,0.6,1,0,168,3,3,6,1,1,0,0,0,0,0,0,0.94382,0.5,0.5,0.75,1,0
40,91,168,4,6,4,0,0,0.99408,0.8,0.6,0.4,0,0,168,4,6,4,0,0,0,0,0,0,0,0,0.93855,1,0.66667,0.66667,0,NaN
41,90.5,168,4,5,4,0,0,0.99408,0.8,0.5,0.4,0,0,168,4,5,4,0,2,0,0,0,0,0,0,0.94382,0.66667,0.625,0.66667,NaN,0
42,91,168,5,4,5,0,0,0.99408,1,0.4,0.5,0,0,168,5,4,5,0,2,0,0,0,0,0,0,0.94382,0.83333,0.66667,0.625,NaN,0
43,90,167,2,3,7,1,0,0.98817,0.4,0.3,0.7,1,0,167,2,3,7,1,0,0,0,0,0,0,0,0.9435,0.5,0.42857,0.77778,0.33333,NaN
